"Supplied Name","guid","scientificName","family","kingdom","conservation status","vernacular name","Authority","category","generalisation","generalisation description","Reason"
"Bossiaea grayi","http://id.biodiversity.org.au/node/apni/2910201","Bossiaea grayi","Fabaceae",,"Endangered","Murrumbidgee Bossiaea","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Aprasia parapulchella","urn:lsid:biodiversity.org.au:afd.taxon:5bafef7f-d018-4462-8de7-83abc3beb356","Aprasia parapulchella","Pygopodidae",,"Vulnerable",,"ACT Nature Conservation Act 2014","Very High","WITHHOLD","No coordinates to be provided or shown at all","Disturbance and collection"
"Pseudophryne pengilleyi","urn:lsid:biodiversity.org.au:afd.taxon:740a610f-33be-426f-86c2-1b036b9cd02d","Pseudophryne pengilleyi","Myobatrachidae",,"Endangered",,"ACT Nature Conservation Act 2014","Very High","WITHHOLD","No coordinates to be provided or shown at all","Disturbance and collection"
"Mastacomys fuscus","urn:lsid:biodiversity.org.au:afd.taxon:228ebd79-4a14-4bbf-ba7f-52b53938fe15","Mastacomys fuscus fuscus","Muridae",,"Vulnerable","Broad-toothed rat","Threatened Species Conservation Act 1995","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Prasophyllum petilum","http://id.biodiversity.org.au/node/apni/2899002","Prasophyllum petilum","Orchidaceae",,"Endangered","A leek orchid","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Pseudomys fumeus","urn:lsid:biodiversity.org.au:afd.taxon:c8ba3449-d6f3-405a-9c8a-7b4db471c52a","Pseudomys fumeus","Muridae",,"Endangered",,"ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Keyacris scurra","urn:lsid:biodiversity.org.au:afd.taxon:2089d8b7-6a1a-484d-961e-29717d8fb1de","Keyacris scurra","Morabidae",,"Rare","Key Matchstick Grasshopper",,"High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Maccullochella macquariensis","urn:lsid:biodiversity.org.au:afd.taxon:86fd8f17-f841-4dda-969e-38e0f55f1164","Maccullochella macquariensis","Percichthyidae",,"Endangered","Trout Cod","ACT Nature Conservation Act 2014","High","1km","All coordinates randomised to 0.01 degree (approx 1000m)","Disturbance and legal targeting"
"Muehlenbeckia tuggeranong","http://id.biodiversity.org.au/node/apni/2896218","Muehlenbeckia tuggeranong","Polygonaceae",,"Endangered","Tuggeranong Lignum","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Lepidium ginninderrense","http://id.biodiversity.org.au/node/apni/2890648","Lepidium ginninderrense","Brassicaceae",,"Endangered","Ginninderra Peppercress","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Delma impar","urn:lsid:biodiversity.org.au:afd.taxon:b205d60d-6a94-45b2-b297-d7ef87572fdb","Delma impar","Pygopodidae",,"Vulnerable",,"ACT Nature Conservation Act 2014","Very High","WITHHOLD","No coordinates to be provided or shown at all","Disturbance and collection"
"Corunastylis ectopa","http://id.biodiversity.org.au/node/apni/3853155","Corunastylis ectopa","Orchidaceae",,"Endangered","Brindabella Midge Orchid","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Tympanocryptis pinguicolla","urn:lsid:biodiversity.org.au:afd.taxon:dc795d52-55c3-4bc5-b30a-8a73c5aec21b","Tympanocryptis pinguicolla","Agamidae",,"Endangered",,"ACT Nature Conservation Act 2014","Very High","WITHHOLD","No coordinates to be provided or shown at all","Disturbance and collection"
"Arachnorchis (Caladenia) actensis","http://id.biodiversity.org.au/node/apni/2920976","Caladenia actensis","Orchidaceae",,"Endangered","Canberra Spider Orchid","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Perunga ochracea","urn:lsid:biodiversity.org.au:afd.taxon:ab03e158-f57a-418d-b9cb-274063cb0573","Perunga ochracea","Acrididae",,"Vulnerable","Perunga Grasshopper","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Varanus rosenbergi","urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1","Varanus rosenbergi","Varanidae",,"Vulnerable","Rosenberg's Monitor","Threatened Species Conservation Act 1995","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Cooraboorama canberrae","urn:lsid:biodiversity.org.au:afd.taxon:f5146e4f-d11b-4595-a2d3-98ea27976a2c","Cooraboorama canberrae","Gryllacrididae",,"Rare","Canberra Raspy Cricket",,"High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Maratus","urn:lsid:biodiversity.org.au:afd.taxon:8702c5cc-e00e-4d59-8a1e-b2b174cd09d0","Maratus","Salticidae",,"Rare","Kicking peacock spider",,"High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Swainsona recta","http://id.biodiversity.org.au/node/apni/2916272","Swainsona recta","Fabaceae",,"Endangered","Small Purple Pea","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Euastacus armatus","urn:lsid:biodiversity.org.au:afd.taxon:4795dfca-552d-4df7-824d-9a1b66a418e1","Euastacus armatus","Parastacidae",,"Vulnerable","Murray Crayfish","ACT Nature Conservation Act 2014","Very High","WITHHOLD","No coordinates to be provided or shown at all","Risk of illegal targeting at a pool scale is considered high"
"Pterostylis oreophila","http://id.biodiversity.org.au/name/apni/75185","Pterostylis oreophila",,,"Critically endangered","Kiandra Greenhood","Environment Protection and Biodiversity Conservation Act 1999 (EPBC Act)","High","1km","Generalise to 0.01 or 1km","Disturbance and collection"
"Macquaria australasica","urn:lsid:biodiversity.org.au:afd.taxon:3c769c64-f8be-42aa-8f41-50e78873cc57","Macquaria australasica","Percichthyidae",,"Endangered",,"ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km","Disturbance and legal targeting"
"Gentiana baeuerlenii","http://id.biodiversity.org.au/node/apni/2892776","Gentiana baeuerlenii","Gentianaceae",,"Endangered","Baeuerlen's Gentian","ACT Nature Conservation Act 2014","High","1km","Generalise to 0.01 or 1km",
